debit_memo,product,ndc,manufacturer,ask_price,received_price,Percentage Returned,Full/partial,Ask Date,Receive Date,Method,Confidence,Pharmacy Name,Status
DEL0918AJU66993,Olanzapine ODS,66993-0686-38,Prasco Laboratories,140.81,,,Full,09/06/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU67877,Rosuvastatin Calcium,67877-0439-90,Ascend Laboratories; LLC,210,,,Full,09/07/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU68001,Desmopressin Acetate,68001-0233-00,BluePoint Laboratories,380.57,,,Full,09/06/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU68001,Diclofenac Sodium,68001-0280-00,BluePoint Laboratories,31.65,,,Full,09/06/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU68001,Quinapril,68001-0187-05,BluePoint Laboratories,15,,,Full,09/06/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU68180,Cefadroxil,68180-0180-01,Lupin Pharmaceuticals; Inc.,50.35,,,Partial,09/06/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU68382,Potassium Citrate,68382-0538-01,Zydus Pharmaceuticals (USA) Inc.,194.47,,,Full,09/06/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU68462,Ropinirole,68462-0254-01,Glenmark Pharmaceuticals Inc.; USA,47.79,,,Full,09/07/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU68462,Ropinirole,68462-0257-01,Glenmark Pharmaceuticals Inc.; USA,49.5,,,Full,09/07/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU68462,Omeprazole,68462-0395-30,Glenmark Pharmaceuticals Inc.; USA,10.76,,,Full,09/07/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU68462,Adapalene,68462-0403-55,Glenmark Pharmaceuticals Inc.; USA,94.54,,,Full,09/07/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
DEL0918AJU69097,Bupropion Hydrochloride,69097-0877-12,Cipla USA Inc.,112.42,,,Partial,09/06/2018,,,,Er Drugs; Colosseum ; Inc,UNMATCHED
